subject	rt	evidence_type	evidence	item	response	slide_number_in_experiment	screenW	screenH	OS	Browser	language	enjoyment	gender	age	comments	asses	time_in_minutes
0	6167	evidence5	Sie sehen, dass die Tasse nicht isoliert ist	kaffee	vermutlich	14	1920	1080	Mac	Firefox	deutsch	0	Female	28		Confused	2.36325
1	35915	evidence2	Sie berühren die Kaffeetasse und stellen fest, dass sie kalt ist	kaffee	wohl	3	1366	768	Windows	Chrome	Deutsch	2	Female	31		Yes	3.55565
1	15119	evidence5	Sie sehen, dass die Tasse nicht isoliert ist	kaffee	vermutlich	4	1366	768	Windows	Chrome	Deutsch	2	Female	31		Yes	3.55565
1	19210	evidence2	Sie konnten hören, wie Wasser auf das Dach prasselte	regen	wohl	5	1366	768	Windows	Chrome	Deutsch	2	Female	31		Yes	3.55565
1	18769	evidence1	Sie haben gerade das Abendessen zubereitet und auf den Tisch gestellt	abendessen	bare	6	1366	768	Windows	Chrome	Deutsch	2	Female	31		Yes	3.55565
1	12273	evidence4	Sie haben im Internet den Wetterbericht gelesen, in dem stand, dass es regnen würde	regen	vermutlich	7	1366	768	Windows	Chrome	Deutsch	2	Female	31		Yes	3.55565
1	12664	evidence4	Sie vernehmen den Geruch von Essen, der aus dem Esszimmer kommt	abendessen	muss	8	1366	768	Windows	Chrome	Deutsch	2	Female	31		Yes	3.55565
1	12931	evidence1	Sie sahen aus dem Fenster und beobachteten, wie Regentropfen vom Himmel fielen	regen	bare	9	1366	768	Windows	Chrome	Deutsch	2	Female	31		Yes	3.55565
1	9823	evidence1	Sie trinken einen Schluck Kaffee und stellen fest, dass er kalt ist	kaffee	bare	10	1366	768	Windows	Chrome	Deutsch	2	Female	31		Yes	3.55565
1	19068	evidence3	Sie haben Kopfhörer auf und hören Musik, sehen aber aus dem Fenster und beobachten, wie der Postbote vor der Nachbarstür einen Satz nach hinten macht	hund	muss	11	1366	768	Windows	Chrome	Deutsch	2	Female	31		Yes	3.55565
1	4647	evidence5	Sie wissen, dass sich die Nachbarn gerade einen Hund angeschafft haben	hund	wohl	12	1366	768	Windows	Chrome	Deutsch	2	Female	31		Yes	3.55565
1	6689	evidence2	Sie hören einen Hund bellen	hund	bare	13	1366	768	Windows	Chrome	Deutsch	2	Female	31		Yes	3.55565
1	11729	evidence3	Sie wissen, dass das Abendessen normalerweise um 18 Uhr fertig ist. Ein Blick auf die Uhr zeigt, dass es gerade 18 Uhr ist	abendessen	vermutlich	14	1366	768	Windows	Chrome	Deutsch	2	Female	31		Yes	3.55565
2	29864	evidence5	Sie haben Hunger	abendessen	muss	3	1440	900	Mac	Safari	Deutsch	1	Male	41		Yes	2.23313333333
2	23735	evidence4	Sie haben Kopfhörer auf und hören Musik, wissen aber, dass der Hund der Nachbarn oft bellt	hund	vermutlich	4	1440	900	Mac	Safari	Deutsch	1	Male	41		Yes	2.23313333333
2	10329	evidence5	Sie wissen, dass sich die Nachbarn gerade einen Hund angeschafft haben	hund	muss	5	1440	900	Mac	Safari	Deutsch	1	Male	41		Yes	2.23313333333
2	12267	evidence2	Sie konnten hören, wie Wasser auf das Dach prasselte	regen	bare	6	1440	900	Mac	Safari	Deutsch	1	Male	41		Yes	2.23313333333
2	3481	evidence3	Sie wissen, dass das Abendessen normalerweise um 18 Uhr fertig ist. Ein Blick auf die Uhr zeigt, dass es gerade 18 Uhr ist	abendessen	vermutlich	7	1440	900	Mac	Safari	Deutsch	1	Male	41		Yes	2.23313333333
2	2496	evidence1	Sie schauen aus dem Fenster und sehen Struppi, den Hund der Nachbarn, wie er am Zaun steht und bellt	hund	vermutlich	8	1440	900	Mac	Safari	Deutsch	1	Male	41		Yes	2.23313333333
2	2283	evidence1	Sie sahen aus dem Fenster und beobachteten, wie Regentropfen vom Himmel fielen	regen	muss	9	1440	900	Mac	Safari	Deutsch	1	Male	41		Yes	2.23313333333
2	5394	evidence4	Sie sehen, dass aus dem Kaffee kein Dampf aufsteigt	kaffee	wohl	10	1440	900	Mac	Safari	Deutsch	1	Male	41		Yes	2.23313333333
2	2754	evidence5	Sie haben am Vormittag dunkle Wolken am Himmel gesehen	regen	bare	11	1440	900	Mac	Safari	Deutsch	1	Male	41		Yes	2.23313333333
2	2286	evidence5	Sie sehen, dass die Tasse nicht isoliert ist	kaffee	muss	12	1440	900	Mac	Safari	Deutsch	1	Male	41		Yes	2.23313333333
2	2305	evidence1	Sie trinken einen Schluck Kaffee und stellen fest, dass er kalt ist	kaffee	vermutlich	13	1440	900	Mac	Safari	Deutsch	1	Male	41		Yes	2.23313333333
2	2022	evidence2	Ihr/e Mann/Frau hat gesagt, dass das Abendessen fertig sei	abendessen	muss	14	1440	900	Mac	Safari	Deutsch	1	Male	41		Yes	2.23313333333
3	37711	evidence4	Sie vernehmen den Geruch von Essen, der aus dem Esszimmer kommt	abendessen	wohl	3	1920	1080	Windows	Firefox	Deutsch	2	Male	45		Yes	3.99971666667
3	19006	evidence1	Sie schauen aus dem Fenster und sehen Struppi, den Hund der Nachbarn, wie er am Zaun steht und bellt	hund	bare	4	1920	1080	Windows	Firefox	Deutsch	2	Male	45		Yes	3.99971666667
3	13945	evidence5	Sie wissen, dass sich die Nachbarn gerade einen Hund angeschafft haben	hund	vermutlich	5	1920	1080	Windows	Firefox	Deutsch	2	Male	45		Yes	3.99971666667
3	16014	evidence4	Sie sehen, dass aus dem Kaffee kein Dampf aufsteigt	kaffee	bare	6	1920	1080	Windows	Firefox	Deutsch	2	Male	45		Yes	3.99971666667
3	10732	evidence5	Sie haben am Vormittag dunkle Wolken am Himmel gesehen	regen	vermutlich	7	1920	1080	Windows	Firefox	Deutsch	2	Male	45		Yes	3.99971666667
3	16403	evidence1	Sie sahen aus dem Fenster und beobachteten, wie Regentropfen vom Himmel fielen	regen	wohl	8	1920	1080	Windows	Firefox	Deutsch	2	Male	45		Yes	3.99971666667
3	10912	evidence5	Sie sehen, dass die Tasse nicht isoliert ist	kaffee	bare	9	1920	1080	Windows	Firefox	Deutsch	2	Male	45		Yes	3.99971666667
3	13897	evidence4	Sie haben Kopfhörer auf und hören Musik, wissen aber, dass der Hund der Nachbarn oft bellt	hund	vermutlich	10	1920	1080	Windows	Firefox	Deutsch	2	Male	45		Yes	3.99971666667
3	13396	evidence3	Sie wissen, dass das Abendessen normalerweise um 18 Uhr fertig ist. Ein Blick auf die Uhr zeigt, dass es gerade 18 Uhr ist	abendessen	muss	11	1920	1080	Windows	Firefox	Deutsch	2	Male	45		Yes	3.99971666667
3	11556	evidence2	Sie berühren die Kaffeetasse und stellen fest, dass sie kalt ist	kaffee	bare	12	1920	1080	Windows	Firefox	Deutsch	2	Male	45		Yes	3.99971666667
3	10920	evidence2	Sie konnten hören, wie Wasser auf das Dach prasselte	regen	bare	13	1920	1080	Windows	Firefox	Deutsch	2	Male	45		Yes	3.99971666667
3	12927	evidence1	Sie haben gerade das Abendessen zubereitet und auf den Tisch gestellt	abendessen	bare	14	1920	1080	Windows	Firefox	Deutsch	2	Male	45		Yes	3.99971666667
4	27467	evidence3	Sie haben Kopfhörer auf und hören Musik, sehen aber aus dem Fenster und beobachten, wie der Postbote vor der Nachbarstür einen Satz nach hinten macht	hund	wohl	3	1366	768	Windows	Firefox	deutsch	2	Male	32		Yes	3.30626666667
4	20527	evidence5	Sie sehen, dass die Tasse nicht isoliert ist	kaffee	vermutlich	4	1366	768	Windows	Firefox	deutsch	2	Male	32		Yes	3.30626666667
4	8417	evidence3	Sie wissen, dass der Kaffee seit einer Stunde auf dem Tisch steht	kaffee	muss	5	1366	768	Windows	Firefox	deutsch	2	Male	32		Yes	3.30626666667
4	13527	evidence4	Sie haben Kopfhörer auf und hören Musik, wissen aber, dass der Hund der Nachbarn oft bellt	hund	vermutlich	6	1366	768	Windows	Firefox	deutsch	2	Male	32		Yes	3.30626666667
4	15924	evidence2	Ihr/e Mann/Frau hat gesagt, dass das Abendessen fertig sei	abendessen	bare	7	1366	768	Windows	Firefox	deutsch	2	Male	32		Yes	3.30626666667
4	7400	evidence1	Sie trinken einen Schluck Kaffee und stellen fest, dass er kalt ist	kaffee	bare	8	1366	768	Windows	Firefox	deutsch	2	Male	32		Yes	3.30626666667
4	14105	evidence4	Sie haben im Internet den Wetterbericht gelesen, in dem stand, dass es regnen würde	regen	wohl	9	1366	768	Windows	Firefox	deutsch	2	Male	32		Yes	3.30626666667
4	9650	evidence2	Sie konnten hören, wie Wasser auf das Dach prasselte	regen	bare	10	1366	768	Windows	Firefox	deutsch	2	Male	32		Yes	3.30626666667
4	6118	evidence1	Sie sahen aus dem Fenster und beobachteten, wie Regentropfen vom Himmel fielen	regen	bare	11	1366	768	Windows	Firefox	deutsch	2	Male	32		Yes	3.30626666667
4	15233	evidence5	Sie haben Hunger	abendessen	wohl	12	1366	768	Windows	Firefox	deutsch	2	Male	32		Yes	3.30626666667
4	6806	evidence4	Sie vernehmen den Geruch von Essen, der aus dem Esszimmer kommt	abendessen	muss	13	1366	768	Windows	Firefox	deutsch	2	Male	32		Yes	3.30626666667
4	6361	evidence2	Sie hören einen Hund bellen	hund	bare	14	1366	768	Windows	Firefox	deutsch	2	Male	32		Yes	3.30626666667
5	16024	evidence2	Sie konnten hören, wie Wasser auf das Dach prasselte	regen	bare	3	1920	1200	Windows	Firefox	Deutsch	2	Male	54		Yes	2.36743333333
5	11028	evidence3	Sie haben Kopfhörer auf und hören Musik, sehen aber aus dem Fenster und beobachten, wie der Postbote vor der Nachbarstür einen Satz nach hinten macht	hund	wohl	4	1920	1200	Windows	Firefox	Deutsch	2	Male	54		Yes	2.36743333333
5	13308	evidence3	Sie wissen, dass das Abendessen normalerweise um 18 Uhr fertig ist. Ein Blick auf die Uhr zeigt, dass es gerade 18 Uhr ist	abendessen	vermutlich	5	1920	1200	Windows	Firefox	Deutsch	2	Male	54		Yes	2.36743333333
5	6919	evidence1	Sie trinken einen Schluck Kaffee und stellen fest, dass er kalt ist	kaffee	bare	6	1920	1200	Windows	Firefox	Deutsch	2	Male	54		Yes	2.36743333333
5	8703	evidence4	Sie sehen, dass aus dem Kaffee kein Dampf aufsteigt	kaffee	vermutlich	7	1920	1200	Windows	Firefox	Deutsch	2	Male	54		Yes	2.36743333333
5	14162	evidence4	Sie haben im Internet den Wetterbericht gelesen, in dem stand, dass es regnen würde	regen	wohl	8	1920	1200	Windows	Firefox	Deutsch	2	Male	54		Yes	2.36743333333
5	6022	evidence3	Sie sahen, wie jemand mit nassen Haaren und durchnässten Kleidern von draußen hereinkam	regen	wohl	9	1920	1200	Windows	Firefox	Deutsch	2	Male	54		Yes	2.36743333333
5	7119	evidence3	Sie wissen, dass der Kaffee seit einer Stunde auf dem Tisch steht	kaffee	muss	10	1920	1200	Windows	Firefox	Deutsch	2	Male	54		Yes	2.36743333333
5	11545	evidence5	Sie wissen, dass sich die Nachbarn gerade einen Hund angeschafft haben	hund	vermutlich	11	1920	1200	Windows	Firefox	Deutsch	2	Male	54		Yes	2.36743333333
5	6090	evidence4	Sie vernehmen den Geruch von Essen, der aus dem Esszimmer kommt	abendessen	wohl	12	1920	1200	Windows	Firefox	Deutsch	2	Male	54		Yes	2.36743333333
5	4813	evidence2	Sie hören einen Hund bellen	hund	bare	13	1920	1200	Windows	Firefox	Deutsch	2	Male	54		Yes	2.36743333333
5	6941	evidence1	Sie haben gerade das Abendessen zubereitet und auf den Tisch gestellt	abendessen	bare	14	1920	1200	Windows	Firefox	Deutsch	2	Male	54		Yes	2.36743333333
6	61191	evidence1	Sie sahen aus dem Fenster und beobachteten, wie Regentropfen vom Himmel fielen	regen	bare	3	360	640	Linux	Chrome	deutsch 	2	Male	54		Yes	6.51565
6	35074	evidence3	Sie wissen, dass das Abendessen normalerweise um 18 Uhr fertig ist. Ein Blick auf die Uhr zeigt, dass es gerade 18 Uhr ist	abendessen	vermutlich	4	360	640	Linux	Chrome	deutsch 	2	Male	54		Yes	6.51565
6	17447	evidence4	Sie sehen, dass aus dem Kaffee kein Dampf aufsteigt	kaffee	bare	5	360	640	Linux	Chrome	deutsch 	2	Male	54		Yes	6.51565
6	13035	evidence3	Sie wissen, dass der Kaffee seit einer Stunde auf dem Tisch steht	kaffee	bare	6	360	640	Linux	Chrome	deutsch 	2	Male	54		Yes	6.51565
6	14397	evidence4	Sie vernehmen den Geruch von Essen, der aus dem Esszimmer kommt	abendessen	bare	7	360	640	Linux	Chrome	deutsch 	2	Male	54		Yes	6.51565
6	18414	evidence3	Sie sahen, wie jemand mit nassen Haaren und durchnässten Kleidern von draußen hereinkam	regen	bare	8	360	640	Linux	Chrome	deutsch 	2	Male	54		Yes	6.51565
6	21136	evidence5	Sie sehen, dass die Tasse nicht isoliert ist	kaffee	vermutlich	9	360	640	Linux	Chrome	deutsch 	2	Male	54		Yes	6.51565
6	13226	evidence5	Sie haben am Vormittag dunkle Wolken am Himmel gesehen	regen	vermutlich	10	360	640	Linux	Chrome	deutsch 	2	Male	54		Yes	6.51565
6	39384	evidence5	Sie haben Hunger	abendessen	vermutlich	11	360	640	Linux	Chrome	deutsch 	2	Male	54		Yes	6.51565
6	22544	evidence1	Sie schauen aus dem Fenster und sehen Struppi, den Hund der Nachbarn, wie er am Zaun steht und bellt	hund	bare	12	360	640	Linux	Chrome	deutsch 	2	Male	54		Yes	6.51565
6	19815	evidence3	Sie haben Kopfhörer auf und hören Musik, sehen aber aus dem Fenster und beobachten, wie der Postbote vor der Nachbarstür einen Satz nach hinten macht	hund	vermutlich	13	360	640	Linux	Chrome	deutsch 	2	Male	54		Yes	6.51565
6	18212	evidence2	Sie hören einen Hund bellen	hund	bare	14	360	640	Linux	Chrome	deutsch 	2	Male	54		Yes	6.51565
7	12492	evidence3	Sie wissen, dass das Abendessen normalerweise um 18 Uhr fertig ist. Ein Blick auf die Uhr zeigt, dass es gerade 18 Uhr ist	abendessen	wohl	3	1366	768	Windows	Chrome	deutsch	2	Male	35		Yes	3.07081666667
7	20039	evidence1	Sie haben gerade das Abendessen zubereitet und auf den Tisch gestellt	abendessen	bare	4	1366	768	Windows	Chrome	deutsch	2	Male	35		Yes	3.07081666667
7	17890	evidence3	Sie sahen, wie jemand mit nassen Haaren und durchnässten Kleidern von draußen hereinkam	regen	vermutlich	5	1366	768	Windows	Chrome	deutsch	2	Male	35		Yes	3.07081666667
7	26793	evidence1	Sie schauen aus dem Fenster und sehen Struppi, den Hund der Nachbarn, wie er am Zaun steht und bellt	hund	bare	6	1366	768	Windows	Chrome	deutsch	2	Male	35		Yes	3.07081666667
7	37128	evidence2	Sie berühren die Kaffeetasse und stellen fest, dass sie kalt ist	kaffee	bare	7	1366	768	Windows	Chrome	deutsch	2	Male	35		Yes	3.07081666667
7	5524	evidence2	Sie hören einen Hund bellen	hund	bare	8	1366	768	Windows	Chrome	deutsch	2	Male	35		Yes	3.07081666667
7	6619	evidence5	Sie wissen, dass sich die Nachbarn gerade einen Hund angeschafft haben	hund	bare	9	1366	768	Windows	Chrome	deutsch	2	Male	35		Yes	3.07081666667
7	13206	evidence5	Sie sehen, dass die Tasse nicht isoliert ist	kaffee	wohl	10	1366	768	Windows	Chrome	deutsch	2	Male	35		Yes	3.07081666667
7	9192	evidence1	Sie sahen aus dem Fenster und beobachteten, wie Regentropfen vom Himmel fielen	regen	bare	11	1366	768	Windows	Chrome	deutsch	2	Male	35		Yes	3.07081666667
7	6813	evidence2	Sie konnten hören, wie Wasser auf das Dach prasselte	regen	bare	12	1366	768	Windows	Chrome	deutsch	2	Male	35		Yes	3.07081666667
7	5869	evidence4	Sie vernehmen den Geruch von Essen, der aus dem Esszimmer kommt	abendessen	bare	13	1366	768	Windows	Chrome	deutsch	2	Male	35		Yes	3.07081666667
7	3763	evidence1	Sie trinken einen Schluck Kaffee und stellen fest, dass er kalt ist	kaffee	bare	14	1366	768	Windows	Chrome	deutsch	2	Male	35		Yes	3.07081666667
8	24824	evidence2	Sie konnten hören, wie Wasser auf das Dach prasselte	regen	wohl	3	1536	864	Windows	Firefox	Deutsch	2	Male	35		Yes	4.71571666667
8	19544	evidence1	Sie schauen aus dem Fenster und sehen Struppi, den Hund der Nachbarn, wie er am Zaun steht und bellt	hund	bare	4	1536	864	Windows	Firefox	Deutsch	2	Male	35		Yes	4.71571666667
8	12851	evidence4	Sie sehen, dass aus dem Kaffee kein Dampf aufsteigt	kaffee	bare	5	1536	864	Windows	Firefox	Deutsch	2	Male	35		Yes	4.71571666667
8	12661	evidence3	Sie wissen, dass der Kaffee seit einer Stunde auf dem Tisch steht	kaffee	muss	6	1536	864	Windows	Firefox	Deutsch	2	Male	35		Yes	4.71571666667
8	16860	evidence1	Sie haben gerade das Abendessen zubereitet und auf den Tisch gestellt	abendessen	bare	7	1536	864	Windows	Firefox	Deutsch	2	Male	35		Yes	4.71571666667
8	31065	evidence3	Sie sahen, wie jemand mit nassen Haaren und durchnässten Kleidern von draußen hereinkam	regen	muss	8	1536	864	Windows	Firefox	Deutsch	2	Male	35		Yes	4.71571666667
8	23714	evidence5	Sie haben Hunger	abendessen	bare	9	1536	864	Windows	Firefox	Deutsch	2	Male	35		Yes	4.71571666667
8	23096	evidence5	Sie haben am Vormittag dunkle Wolken am Himmel gesehen	regen	vermutlich	10	1536	864	Windows	Firefox	Deutsch	2	Male	35		Yes	4.71571666667
8	19521	evidence5	Sie sehen, dass die Tasse nicht isoliert ist	kaffee	vermutlich	11	1536	864	Windows	Firefox	Deutsch	2	Male	35		Yes	4.71571666667
8	14284	evidence2	Sie hören einen Hund bellen	hund	bare	12	1536	864	Windows	Firefox	Deutsch	2	Male	35		Yes	4.71571666667
8	22335	evidence3	Sie haben Kopfhörer auf und hören Musik, sehen aber aus dem Fenster und beobachten, wie der Postbote vor der Nachbarstür einen Satz nach hinten macht	hund	wohl	13	1536	864	Windows	Firefox	Deutsch	2	Male	35		Yes	4.71571666667
8	19720	evidence4	Sie vernehmen den Geruch von Essen, der aus dem Esszimmer kommt	abendessen	muss	14	1536	864	Windows	Firefox	Deutsch	2	Male	35		Yes	4.71571666667
9	40841	evidence1	Sie trinken einen Schluck Kaffee und stellen fest, dass er kalt ist	kaffee	bare	3	1280	1024	Windows	Firefox	Deutsch	0	Male	27		Yes	5.1191
9	20827	evidence1	Sie schauen aus dem Fenster und sehen Struppi, den Hund der Nachbarn, wie er am Zaun steht und bellt	hund	bare	4	1280	1024	Windows	Firefox	Deutsch	0	Male	27		Yes	5.1191
9	31137	evidence5	Sie haben Hunger	abendessen	bare	5	1280	1024	Windows	Firefox	Deutsch	0	Male	27		Yes	5.1191
9	38552	evidence4	Sie haben Kopfhörer auf und hören Musik, wissen aber, dass der Hund der Nachbarn oft bellt	hund	vermutlich	6	1280	1024	Windows	Firefox	Deutsch	0	Male	27		Yes	5.1191
9	16369	evidence2	Sie berühren die Kaffeetasse und stellen fest, dass sie kalt ist	kaffee	muss	7	1280	1024	Windows	Firefox	Deutsch	0	Male	27		Yes	5.1191
9	11061	evidence3	Sie wissen, dass das Abendessen normalerweise um 18 Uhr fertig ist. Ein Blick auf die Uhr zeigt, dass es gerade 18 Uhr ist	abendessen	muss	8	1280	1024	Windows	Firefox	Deutsch	0	Male	27		Yes	5.1191
9	24020	evidence2	Ihr/e Mann/Frau hat gesagt, dass das Abendessen fertig sei	abendessen	bare	9	1280	1024	Windows	Firefox	Deutsch	0	Male	27		Yes	5.1191
9	16691	evidence2	Sie konnten hören, wie Wasser auf das Dach prasselte	regen	muss	10	1280	1024	Windows	Firefox	Deutsch	0	Male	27		Yes	5.1191
9	12154	evidence5	Sie sehen, dass die Tasse nicht isoliert ist	kaffee	vermutlich	11	1280	1024	Windows	Firefox	Deutsch	0	Male	27		Yes	5.1191
9	24059	evidence3	Sie sahen, wie jemand mit nassen Haaren und durchnässten Kleidern von draußen hereinkam	regen	vermutlich	12	1280	1024	Windows	Firefox	Deutsch	0	Male	27		Yes	5.1191
9	20103	evidence1	Sie sahen aus dem Fenster und beobachteten, wie Regentropfen vom Himmel fielen	regen	bare	13	1280	1024	Windows	Firefox	Deutsch	0	Male	27		Yes	5.1191
9	14615	evidence5	Sie wissen, dass sich die Nachbarn gerade einen Hund angeschafft haben	hund	wohl	14	1280	1024	Windows	Firefox	Deutsch	0	Male	27		Yes	5.1191
10	27043	evidence3	Sie haben Kopfhörer auf und hören Musik, sehen aber aus dem Fenster und beobachten, wie der Postbote vor der Nachbarstür einen Satz nach hinten macht	hund	vermutlich	3	1920	1080	Windows	Chrome	deutsch	1	Male	30		Yes	2.5443
10	17526	evidence1	Sie haben gerade das Abendessen zubereitet und auf den Tisch gestellt	abendessen	bare	4	1920	1080	Windows	Chrome	deutsch	1	Male	30		Yes	2.5443
10	8560	evidence3	Sie sahen, wie jemand mit nassen Haaren und durchnässten Kleidern von draußen hereinkam	regen	bare	5	1920	1080	Windows	Chrome	deutsch	1	Male	30		Yes	2.5443
10	9527	evidence3	Sie wissen, dass der Kaffee seit einer Stunde auf dem Tisch steht	kaffee	wohl	6	1920	1080	Windows	Chrome	deutsch	1	Male	30		Yes	2.5443
10	10914	evidence4	Sie sehen, dass aus dem Kaffee kein Dampf aufsteigt	kaffee	vermutlich	7	1920	1080	Windows	Chrome	deutsch	1	Male	30		Yes	2.5443
10	8101	evidence2	Sie hören einen Hund bellen	hund	vermutlich	8	1920	1080	Windows	Chrome	deutsch	1	Male	30		Yes	2.5443
10	10030	evidence4	Sie haben im Internet den Wetterbericht gelesen, in dem stand, dass es regnen würde	regen	vermutlich	9	1920	1080	Windows	Chrome	deutsch	1	Male	30		Yes	2.5443
10	8762	evidence4	Sie vernehmen den Geruch von Essen, der aus dem Esszimmer kommt	abendessen	vermutlich	10	1920	1080	Windows	Chrome	deutsch	1	Male	30		Yes	2.5443
10	7661	evidence1	Sie sahen aus dem Fenster und beobachteten, wie Regentropfen vom Himmel fielen	regen	bare	11	1920	1080	Windows	Chrome	deutsch	1	Male	30		Yes	2.5443
10	7441	evidence4	Sie haben Kopfhörer auf und hören Musik, wissen aber, dass der Hund der Nachbarn oft bellt	hund	vermutlich	12	1920	1080	Windows	Chrome	deutsch	1	Male	30		Yes	2.5443
10	5796	evidence1	Sie trinken einen Schluck Kaffee und stellen fest, dass er kalt ist	kaffee	bare	13	1920	1080	Windows	Chrome	deutsch	1	Male	30		Yes	2.5443
10	7275	evidence2	Ihr/e Mann/Frau hat gesagt, dass das Abendessen fertig sei	abendessen	bare	14	1920	1080	Windows	Chrome	deutsch	1	Male	30		Yes	2.5443
11	21145	evidence2	Sie hören einen Hund bellen	hund	bare	3	1920	1080	Windows	Chrome	Deutsch	2	Male	32		Yes	3.41088333333
11	10674	evidence5	Sie wissen, dass sich die Nachbarn gerade einen Hund angeschafft haben	hund	bare	4	1920	1080	Windows	Chrome	Deutsch	2	Male	32		Yes	3.41088333333
11	15264	evidence2	Ihr/e Mann/Frau hat gesagt, dass das Abendessen fertig sei	abendessen	wohl	5	1920	1080	Windows	Chrome	Deutsch	2	Male	32		Yes	3.41088333333
11	5946	evidence1	Sie haben gerade das Abendessen zubereitet und auf den Tisch gestellt	abendessen	bare	6	1920	1080	Windows	Chrome	Deutsch	2	Male	32		Yes	3.41088333333
11	14296	evidence2	Sie konnten hören, wie Wasser auf das Dach prasselte	regen	bare	7	1920	1080	Windows	Chrome	Deutsch	2	Male	32		Yes	3.41088333333
11	21603	evidence3	Sie haben Kopfhörer auf und hören Musik, sehen aber aus dem Fenster und beobachten, wie der Postbote vor der Nachbarstür einen Satz nach hinten macht	hund	vermutlich	8	1920	1080	Windows	Chrome	Deutsch	2	Male	32		Yes	3.41088333333
11	13793	evidence1	Sie trinken einen Schluck Kaffee und stellen fest, dass er kalt ist	kaffee	bare	9	1920	1080	Windows	Chrome	Deutsch	2	Male	32		Yes	3.41088333333
11	14211	evidence3	Sie wissen, dass das Abendessen normalerweise um 18 Uhr fertig ist. Ein Blick auf die Uhr zeigt, dass es gerade 18 Uhr ist	abendessen	wohl	10	1920	1080	Windows	Chrome	Deutsch	2	Male	32		Yes	3.41088333333
11	13369	evidence5	Sie haben am Vormittag dunkle Wolken am Himmel gesehen	regen	wohl	11	1920	1080	Windows	Chrome	Deutsch	2	Male	32		Yes	3.41088333333
11	8556	evidence4	Sie sehen, dass aus dem Kaffee kein Dampf aufsteigt	kaffee	vermutlich	12	1920	1080	Windows	Chrome	Deutsch	2	Male	32		Yes	3.41088333333
11	10727	evidence3	Sie wissen, dass der Kaffee seit einer Stunde auf dem Tisch steht	kaffee	bare	13	1920	1080	Windows	Chrome	Deutsch	2	Male	32		Yes	3.41088333333
11	11690	evidence4	Sie haben im Internet den Wetterbericht gelesen, in dem stand, dass es regnen würde	regen	vermutlich	14	1920	1080	Windows	Chrome	Deutsch	2	Male	32		Yes	3.41088333333
12	31539	evidence3	Sie haben Kopfhörer auf und hören Musik, sehen aber aus dem Fenster und beobachten, wie der Postbote vor der Nachbarstür einen Satz nach hinten macht	hund	vermutlich	3	1138	640	Windows	Mozilla	Deutsch	2	Female	71		Yes	5.76995
12	21980	evidence1	Sie trinken einen Schluck Kaffee und stellen fest, dass er kalt ist	kaffee	bare	4	1138	640	Windows	Mozilla	Deutsch	2	Female	71		Yes	5.76995
12	21425	evidence1	Sie schauen aus dem Fenster und sehen Struppi, den Hund der Nachbarn, wie er am Zaun steht und bellt	hund	bare	5	1138	640	Windows	Mozilla	Deutsch	2	Female	71		Yes	5.76995
12	19124	evidence4	Sie haben im Internet den Wetterbericht gelesen, in dem stand, dass es regnen würde	regen	muss	6	1138	640	Windows	Mozilla	Deutsch	2	Female	71		Yes	5.76995
12	13681	evidence1	Sie haben gerade das Abendessen zubereitet und auf den Tisch gestellt	abendessen	bare	7	1138	640	Windows	Mozilla	Deutsch	2	Female	71		Yes	5.76995
